Unnamed: 0,country,product,entitlement_period,marketing_channel,family_type,hourspendonapp,promo_applied,cross_sell_flag,customer_support__satisfaction,usage_frequency_per_day,asp,previous_year_retention,retention_rate_yr_1,quarter
0,USA,p1,Annual,Offline,Y,Medium,N,Y,5,4.0,54.99,79.9958500815707,78.0,2020Q1
1,USA,p2,Annual,Offline,Y,Medium,N,Y,5,6.0,89.99,81.54766968395069,82.0,2020Q1
2,India,p1,Annual,Offline,Y,Medium,N,Y,5,5.0,9.49,75.33527900585499,72.0,2020Q1
3,India,p2,Annual,Offline,Y,Medium,N,Y,4,3.0,9.9,81.28306413945529,76.0,2020Q1
4,Japan,p1,Annual,Offline,Y,Medium,N,Y,5,4.0,22.99,86.3685731178897,88.0,2020Q1
5,Japan,p2,Annual,Offline,Y,Medium,N,Y,5,4.0,41.99,90.61862090377625,93.0,2020Q1
6,USA,p1,Monthly,Offline,Y,Medium,N,Y,4,6.0,65.99,78.89659133160457,73.0,2020Q1
7,USA,p2,Monthly,Offline,Y,Medium,N,Y,5,5.0,107.99,81.63381455306079,79.0,2020Q1
8,India,p1,Monthly,Offline,Y,Medium,N,Y,5,4.0,11.49,70.3836432951457,70.0,2020Q1
9,India,p2,Monthly,Offline,Y,Medium,N,Y,4,5.0,12.99,76.72929000494692,74.0,2020Q1
10,Japan,p1,Monthly,Offline,Y,Medium,N,Y,5,4.0,27.99,82.3012720216476,84.0,2020Q1
11,Japan,p2,Monthly,Offline,Y,Medium,N,Y,5,5.0,49.99,86.54454249351556,89.0,2020Q1
12,Japan,p1,Bi-annual,Offline,Y,Medium,N,Y,5,4.0,20.99,88.60436439738311,89.0,2020Q1
13,Japan,p2,Bi-annual,Offline,Y,Medium,N,Y,5,7.0,37.99,86.58127442973866,94.0,2020Q1
14,USA,p1,Annual,Digital,Y,Medium,N,Y,5,4.0,54.99,71.82952565855021,76.0,2020Q1
15,USA,p2,Annual,Digital,Y,Medium,N,Y,4,5.0,89.99,78.6134995903163,80.0,2020Q1
