Unnamed: 0,country,product,entitlement_period,marketing_channel,family_type,hourspendonapp,promo_applied,cross_sell_flag,customer_support__satisfaction,usage_frequency_per_day,asp,previous_year_retention,retention_rate_yr_1,quarter
6052,USA,p1,Monthly,Offline,Y,Medium,Y,N,5,7.0,59.4607,76.96477076641426,78.45779999999999,2019Q4
1017,USA,p2,Annual,Offline,Y,High,N,N,3,5.0,89.99,78.31469705942683,79.38,2020Q1
9136,USA,p2,Annual,Offline,Y,High,Y,Y,5,5.318060699740446,33.428226794793595,81.4136221855869,86.31165175212759,2019Q1
3729,USA,p2,Annual,Digital,N,Medium,Y,Y,3,5.0,39.6207,80.54131436651592,80.49499999999999,2020Q3
414,India,p1,Monthly,Digital,Y,Low,N,Y,3,2.0,11.49,66.76734389601538,63.0,2020Q1
9333,USA,p2,Monthly,Offline,N,High,N,N,1,3.998084473044396,22.560719678176035,77.67101360013095,75.24360985538755,2019Q3
891,USA,p2,Annual,Digital,N,Medium,N,N,3,4.0,39.99,78.28408586413128,75.95,2020Q1
5695,Japan,p2,Monthly,Offline,N,Medium,N,N,0,5.0,35.62,76.3525550971501,83.17999999999999,2019Q4
4801,USA,p2,Monthly,Digital,N,Medium,N,Y,3,5.0,47.55,74.27787777529596,75.94,2019Q4
745,USA,p2,Annual,Offline,N,Low,Y,Y,5,5.0,37.1907,82.44299061329107,85.065,2020Q1
8859,USA,p1,Monthly,Offline,Y,Medium,Y,Y,5,5.001316211590916,54.24419451645117,77.69411726663732,75.13224007286323,2019Q2
7701,Japan,p1,Bi-annual,Offline,Y,Low,N,N,5,4.985252291786393,14.63365471157354,89.89127943833344,93.4191145589674,2018Q4
8650,USA,p1,Monthly,Digital,Y,Low,N,Y,2,4.008263238455499,51.75442304795998,84.57663885723665,75.58600627986063,2019Q1
580,USA,p1,Monthly,Digital,Y,Medium,Y,Y,3,5.0,62.69049999999999,75.26408849429752,72.975,2020Q1
5783,USA,p2,Annual,Digital,Y,High,N,N,2,2.0,92.01,79.66903243431135,77.35999999999999,2019Q4
6922,India,p1,Monthly,Offline,Y,Medium,N,Y,3,2.0785755360969373,14.233677568195182,62.468215540841456,66.19200444586254,2019Q1
3866,India,p1,Annual,Offline,Y,Low,Y,Y,3,4.0,8.485700000000001,77.06671538461465,76.845,2020Q3
7182,India,p2,Annual,Offline,Y,Medium,Y,N,4,5.996205323187832,48.531815766167504,81.16951553061337,76.5401985029449,2018Q4
8245,Japan,p2,Monthly,Digital,Y,Low,N,N,5,5.01056503733298,87.68498302896357,86.87488770907927,84.24346173293483,2018Q4
7923,Japan,p2,Annual,Digital,Y,Low,N,N,4,7.101314538217707,37.467429654231786,91.38560260822383,88.65655574523635,2019Q2
6322,India,p1,Annual,Offline,N,Low,Y,N,1,4.0,8.0807,70.9677347233154,69.3191,2019Q4
9039,USA,p2,Annual,Offline,N,High,N,Y,2,3.9911553874590338,29.800479355213927,85.17811431036878,90.03660971536858,2019Q1
3309,USA,p2,Annual,Offline,N,Medium,N,Y,1,3.0,41.74,74.16943959576645,78.25,2020Q3
7338,India,p2,Monthly,Offline,N,Low,N,N,3,3.9961844495219134,11.46695570973374,77.54664131733462,65.75989991967897,2019Q1
4681,USA,p2,Annual,Digital,N,Low,Y,N,4,6.0,35.6007,90.3913977604064,83.3808,2020Q3
4638,India,p1,Monthly,Digital,Y,High,Y,N,1,3.0,12.305699999999998,66.99479062958359,65.4904,2020Q3
6897,India,p1,Monthly,Offline,Y,Low,Y,N,1,5.000061250911465,11.57641908347637,72.55502870257439,74.68530599220132,2019Q2
3978,Japan,p1,Annual,Digital,Y,Medium,N,N,3,7.0,22.6,80.0167042053543,84.67,2020Q3
936,Japan,p1,Annual,Offline,N,Medium,N,N,2,4.0,14.99,77.1671846834152,79.87,2020Q1
6832,India,p1,Monthly,Offline,N,Low,Y,N,5,6.00515664962417,18.08821887388124,73.36621967447246,67.63706522711779,2018Q4
7653,Japan,p1,Bi-annual,Offline,N,Low,N,N,5,6.031813468670756,25.89455859871488,77.71093628082592,83.1295890082621,2019Q3
1833,Japan,p2,Monthly,Digital,Y,High,N,Y,3,3.0,49.13,81.62708284873085,85.86,2020Q2
1647,USA,p2,Monthly,Offline,Y,Medium,N,Y,3,5.0,108.23,75.18531716617008,77.26,2020Q2
4483,India,p2,Annual,Offline,N,Medium,Y,N,4,6.0,15.411,79.03149939031358,77.31299999999999,2020Q3
5967,India,p2,Annual,Offline,N,Low,N,N,4,3.0,16.39,67.67591403989962,68.425,2019Q4
9152,USA,p2,Annual,Offline,Y,Low,Y,N,1,3.997995669469794,7.560682219023401,79.69886289633911,77.27160747346478,2019Q2
2818,India,p1,Monthly,Digital,N,Low,N,N,3,3.0,5.5,61.32195805172186,63.76,2020Q2
7277,India,p2,Monthly,Digital,Y,Low,N,N,5,5.004087799940556,12.095101621637609,71.43080033805053,68.62179553641906,2019Q2
1071,Japan,p2,Bi-annual,Digital,N,High,N,N,4,7.0,26.99,91.52408852436652,91.63,2020Q1
2900,USA,p1,Monthly,Offline,N,Medium,Y,N,5,5.0,26.8705,75.80030935167225,75.19350000000001,2020Q2
6605,India,p1,Annual,Offline,Y,Low,Y,Y,5,4.345720472846272,7.707936748263222,71.47903850067608,70.87835158673444,2019Q1
5384,USA,p1,Annual,Offline,Y,High,Y,Y,5,3.0,53.5006,85.458100724946,80.87,2019Q4
4051,USA,p2,Monthly,Offline,N,Medium,N,N,3,4.0,49.38,68.55696675496117,74.07,2020Q3
266,USA,p1,Annual,Digital,N,High,N,Y,4,3.0,24.99,79.05143186649373,73.0,2020Q1
2805,India,p2,Monthly,Offline,N,Low,N,N,3,5.0,16.72,70.15950008519546,68.645,2020Q2
3751,India,p2,Monthly,Digital,Y,Medium,Y,Y,3,4.0,12.011,79.83877744200133,74.48,2020Q3
1200,India,p1,Annual,Digital,Y,Low,N,N,3,5.0,9.49,65.51008522101063,62.23,2020Q1
8832,USA,p1,Monthly,Offline,Y,Low,Y,Y,5,4.0226714692228605,13.2786575336233,82.32161651660468,76.68477080251284,2019Q1
6004,Japan,p1,Bi-annual,Offline,Y,Low,N,N,0,6.0,26.07,79.46465901440708,79.69,2019Q4
6772,India,p1,Monthly,Digital,Y,Medium,N,N,5,4.511589862079937,9.740439463174011,71.50471470990468,68.99607623694207,2019Q3
842,India,p1,Monthly,Digital,N,Medium,N,N,5,3.0,6.99,61.461288269623466,61.74,2020Q1
6162,India,p1,Annual,Offline,N,High,Y,N,5,3.0,5.57,73.73835190452289,77.1078,2019Q4
7855,Japan,p1,Monthly,Offline,Y,Medium,N,N,5,5.003974837384817,51.31627651681631,81.95362667157262,91.688868644016,2019Q2
4589,USA,p2,Monthly,Digital,N,High,Y,N,4,4.0,47.13060000000001,78.69638965928155,78.48700000000001,2020Q3
1354,India,p1,Annual,Digital,N,Medium,Y,N,3,3.0,5.6306,66.64133222934336,65.9638,2020Q1
7259,India,p2,Monthly,Digital,Y,High,N,Y,1,5.500204112663983,37.82591205800514,69.80692887033456,72.97794092500259,2019Q2
8796,USA,p1,Monthly,Offline,Y,Low,N,N,1,3.998791290755554,63.90757390694966,71.13015705760235,67.47369334586573,2019Q2
2812,India,p1,Annual,Digital,N,Low,N,N,3,4.0,5.5,66.85149811742276,64.5,2020Q2
8785,USA,p1,Monthly,Offline,Y,High,Y,N,5,7.035046719140335,52.028678000888114,86.85331729437628,75.20207952355688,2018Q4
9087,USA,p2,Annual,Offline,N,Low,Y,Y,5,6.022113172697544,15.334004445373123,66.41686762346332,76.69809298782658,2019Q2
2535,Japan,p2,Annual,Digital,N,Medium,N,N,2,5.0,29.25,87.0559131399844,85.02,2020Q2
609,USA,p2,Annual,Digital,Y,High,Y,Y,4,5.0,84.5906,89.13501949780706,85.33,2020Q1
9425,USA,p2,Monthly,Offline,Y,Low,Y,N,5,4.4958642092789045,70.93780325993475,85.54196855505357,78.33947671827187,2019Q3
1250,Japan,p1,Monthly,Offline,Y,Low,N,N,1,5.0,27.99,81.10267070928917,79.87,2020Q1
6673,India,p1,Monthly,Digital,N,Low,Y,N,5,4.989188769700584,28.70875416633824,65.60457960780447,66.83141982726234,2019Q2
7666,Japan,p1,Bi-annual,Offline,N,Medium,N,N,2,6.981797166476547,11.179437515781297,84.8098953478938,90.01515297354989,2018Q4
2070,Japan,p1,Monthly,Offline,N,Low,N,Y,3,4.0,20.25,80.8863355677185,79.74,2020Q2
5683,Japan,p2,Bi-annual,Digital,Y,Medium,N,N,1,5.0,37.08,93.61764673646408,94.01,2019Q4
2912,USA,p1,Annual,Offline,Y,Medium,Y,N,4,6.0,53.500600000000006,73.8129969188357,78.1776,2020Q2
2556,Japan,p1,Bi-annual,Offline,Y,High,N,N,5,5.0,22.25,88.65792684528313,88.89999999999999,2020Q2
4767,USA,p2,Annual,Digital,Y,Medium,N,Y,4,6.0,89.39999999999999,75.72649835495403,80.59,2019Q4
667,India,p2,Annual,Offline,Y,High,Y,Y,1,3.0,9.405,85.35015506893467,80.85,2020Q1
9145,USA,p2,Annual,Offline,Y,Low,N,Y,4,5.995270620676672,37.14517983820613,83.82486601440142,80.13682963311315,2018Q4
4595,India,p2,Annual,Offline,Y,High,Y,N,3,5.0,9.097,80.251200785733,80.8522,2020Q3
5007,India,p2,Annual,Offline,N,High,N,Y,3,4.0,15.79,69.86282532464898,71.7,2019Q4
9316,USA,p2,Monthly,Digital,Y,Medium,Y,N,3,2.9814205982522592,100.97780266495865,82.29449029875121,67.86725382226703,2019Q3
1689,USA,p2,Monthly,Digital,N,Medium,N,Y,4,3.0,48.48,73.80458950472195,73.51,2020Q2
3442,India,p1,Monthly,Digital,N,High,N,Y,3,3.0,5.5,66.45725026040117,66.32,2020Q3
2332,USA,p1,Monthly,Offline,N,Low,Y,Y,4,5.0,25.4207,76.22582605613533,76.835,2020Q2
3281,USA,p2,Annual,Offline,Y,Medium,N,Y,2,5.0,87.94999999999999,78.96950672018681,81.54,2020Q3
2450,Japan,p1,Annual,Digital,Y,Medium,N,N,3,6.0,23.96,77.14192904644575,82.33,2020Q2
5303,India,p2,Monthly,Digital,Y,Medium,Y,Y,4,4.0,10.4607,78.13964614828609,76.52,2019Q4
5438,India,p1,Monthly,Offline,N,High,Y,Y,0,4.0,6.270600000000001,74.79732156854122,70.25999999999999,2019Q4
1203,Japan,p2,Annual,Digital,Y,Low,N,N,4,6.0,41.99,87.76018799947211,86.975,2020Q1
8292,Japan,p2,Monthly,Offline,N,Low,N,N,5,5.003516685533412,39.470625005102704,91.90351982498126,91.19977636212224,2019Q2
5998,USA,p1,Monthly,Offline,Y,Low,N,N,1,4.0,68.49,69.11821905102273,67.57,2019Q4
5592,USA,p1,Monthly,Digital,N,Medium,N,N,5,1.0,29.36,74.06102280312014,69.22999999999999,2019Q4
9290,USA,p2,Monthly,Digital,Y,Low,Y,N,1,5.002452912076827,84.62364588392815,87.77348729119797,86.00416464018515,2019Q3
6283,India,p2,Annual,Digital,Y,Low,Y,N,4,5.0,12.136,70.31860639777926,70.9248,2019Q4
3175,USA,p2,Monthly,Offline,Y,Medium,N,Y,5,6.0,109.55,78.65475255850035,77.44,2020Q3
2759,Japan,p2,Annual,Digital,N,Low,N,N,5,6.0,32.09,79.66991252074816,83.16000000000001,2020Q2
6221,USA,p2,Monthly,Digital,Y,High,Y,N,1,5.0,102.8605,78.09857686302529,77.934,2019Q4
1881,India,p2,Annual,Digital,Y,High,N,Y,2,5.0,9.38,72.68000800148349,73.52,2020Q2
5067,USA,p2,Monthly,Offline,N,High,N,Y,1,4.0,46.98,78.01613569961067,78.50999999999999,2019Q4
697,USA,p2,Annual,Offline,Y,Low,Y,Y,5,5.0,85.4905,80.90108936176152,85.05,2020Q1
6852,India,p1,Monthly,Offline,N,Medium,Y,N,4,4.018204159358516,21.24787393407309,59.168208649105225,60.48090366194472,2019Q2
7935,Japan,p2,Annual,Digital,Y,Low,Y,Y,5,5.529513091719115,41.48793324866568,80.50205556183958,80.78382030079965,2019Q1
4952,Japan,p1,Annual,Offline,N,High,N,Y,4,6.0,19.24,86.1204674762079,81.75,2019Q4
4086,USA,p1,Annual,Digital,Y,Medium,N,N,2,4.0,57.11,70.20381032391633,71.86999999999999,2020Q3
6068,USA,p1,Monthly,Offline,N,Medium,Y,N,4,6.0,27.160499999999995,74.53237002074457,74.90350000000001,2019Q4
8983,USA,p2,Annual,Digital,Y,Low,N,N,5,4.496870952970154,47.87525174742781,79.80712843889648,79.93146381167114,2019Q3
8028,Japan,p2,Annual,Offline,Y,Low,N,Y,5,6.932875637480714,36.88746926891066,91.39099317183856,95.0,2019Q2
3619,India,p2,Annual,Offline,Y,Low,N,Y,3,4.0,11.94,74.2223513513615,71.96,2020Q3
9001,USA,p2,Annual,Digital,Y,Low,Y,Y,1,3.039477580426693,62.67378821492825,72.65637247937332,78.44870225898991,2018Q4
2515,Japan,p2,Bi-annual,Digital,Y,Medium,N,N,1,6.0,35.21,92.7507023935994,95.88,2020Q2
4934,USA,p1,Annual,Digital,Y,High,N,Y,4,4.0,57.03,79.13359145081871,74.96000000000001,2019Q4
8472,USA,p1,Annual,Offline,N,High,Y,Y,5,5.003505594016051,12.74353054943388,83.08626692945003,81.54202715234464,2019Q2
8603,USA,p1,Monthly,Digital,N,Low,Y,N,3,3.006827044741343,26.871692211153665,69.69606217323071,65.82457321121944,2019Q3
7572,Japan,p1,Bi-annual,Digital,N,Medium,N,N,1,6.025557322367237,17.594443526058164,83.88439990216114,84.80165907421943,2018Q4
298,Japan,p1,Annual,Digital,Y,High,N,Y,1,5.0,22.99,88.99103637976972,87.5,2020Q1
5490,India,p1,Annual,Digital,Y,Low,Y,Y,4,2.0,5.5,76.64991458354439,72.30499999999999,2019Q4
5527,India,p2,Monthly,Digital,Y,Low,Y,Y,1,5.0,14.170700000000002,68.32750346779474,69.8675,2019Q4
2684,USA,p1,Annual,Offline,N,High,N,N,2,4.0,24.41,77.14451166494868,74.08,2020Q2
3620,Japan,p1,Annual,Offline,Y,Low,N,Y,2,5.0,20.62,86.896891278001,87.37,2020Q3
7288,India,p2,Monthly,Digital,Y,Low,Y,N,5,4.015426818063117,10.968916891241236,71.50978939536935,76.83415632153569,2019Q1
9270,USA,p2,Monthly,Digital,Y,High,Y,Y,4,4.5044350244030245,87.50839576219548,84.08506223928552,88.49587026574946,2019Q1
8338,Japan,p2,Monthly,Offline,Y,Low,Y,N,5,5.010719315759575,52.45055400215382,81.30998189446818,86.24134679650855,2018Q4
1631,Japan,p2,Annual,Digital,N,Medium,N,Y,5,7.0,27.74,90.40262630231796,90.25,2020Q2
3753,USA,p2,Annual,Offline,N,Medium,Y,Y,4,4.0,37.7607,84.57251797738087,85.03,2020Q3
2702,Japan,p1,Annual,Digital,N,High,N,N,2,4.0,13.21,85.21335874113112,85.08,2020Q2
4225,Japan,p2,Bi-annual,Offline,N,High,N,N,2,6.0,24.59,87.51941175179576,94.03,2020Q3
8574,USA,p1,Monthly,Digital,N,High,N,Y,4,5.009438683245085,31.17110488777011,76.56722510265136,74.36520350158038,2019Q3
6118,India,p1,Monthly,Offline,Y,Medium,Y,N,4,3.0,13.3955,68.68466141784312,65.94850000000001,2019Q4
319,Japan,p2,Monthly,Offline,N,High,N,Y,1,6.0,35.99,86.24630753976706,87.5,2020Q1
