country,product,entitlement_period,marketing_channel,family_type,hourspendonapp,promo_applied,cross_sell_flag,customer_support__satisfaction,usage_frequency_per_day,asp,previous_year_retention,retention_rate_yr_1,quarter
India,p2,Annual,Digital,Y,Low,Y,Y,5,6.0,9.306,79.17354925,75.26,2020Q1
Japan,p1,Monthly,Digital,Y,High,N,N,1,4.0,26.75,78.75031315,78.66,2019Q4
Japan,p2,Monthly,Digital,Y,Low,N,Y,1,4.016251484,20.41965686,84.06484724,65.92628016,2018Q4
Japan,p1,Bi-annual,Offline,Y,Low,N,N,1,6.0,21.54,82.21313441,84.22,2020Q3
India,p2,Annual,Offline,Y,Medium,N,Y,2,5.0,9.25,77.8927812,75.65,2019Q4
Japan,p1,Annual,Digital,N,Medium,N,Y,5,6.0,14.99,81.8843604,83.5,2020Q1
India,p2,Annual,Offline,N,Medium,N,N,4,5.016435159,9.690088269,77.82634067,72.78302305,2019Q3
USA,p1,Annual,Offline,Y,Low,N,N,1,3.0,55.0,67.55536204,73.0,2020Q3
Japan,p2,Annual,Offline,Y,High,N,Y,1,3.996056078,37.80516727,88.03098174,92.40165168,2018Q4
USA,p2,Monthly,Digital,Y,High,Y,Y,5,5.984182735,96.99455377,84.3558032,85.80794892,2019Q2
India,p2,Annual,Offline,N,High,Y,N,4,6.019537889,5.071777424,74.14063559,77.09470435,2019Q2
India,p1,Monthly,Offline,Y,Medium,Y,N,3,4.014408824,38.75815433,81.53331878,76.64905055,2018Q4
USA,p2,Annual,Digital,N,Medium,N,N,5,5.0,39.37,72.44356495,78.04,2019Q4
USA,p2,Annual,Digital,N,Medium,Y,Y,3,6.0,35.991,85.68376768,85.25,2020Q1
USA,p2,Annual,Offline,N,Low,Y,N,4,5.007005038,98.9975096,74.71275479,73.98688068,2019Q3
Japan,p1,Monthly,Offline,Y,High,N,N,5,4.0,30.61,79.45431139,81.17,2019Q4
India,p2,Monthly,Offline,N,High,Y,N,5,4.0,21.481,71.65053683,73.404,2019Q4
India,p2,Annual,Offline,N,High,Y,N,1,5.010659405,16.40215238,80.66327763,78.21512837,2019Q1
Japan,p1,Bi-annual,Offline,Y,Medium,N,N,4,5.99530912,11.68333033,86.88917344,90.40275714,2019Q2
India,p2,Annual,Digital,Y,Medium,Y,Y,5,6.0,8.617,77.3633114,77.63,2020Q3
USA,p2,Monthly,Digital,Y,Low,N,N,3,3.0,110.0,73.14661619,69.98,2019Q4
Japan,p1,Annual,Offline,Y,Medium,N,N,2,4.0,23.42,83.0871713,83.36,2019Q4
India,p1,Annual,Offline,Y,High,N,Y,4,2.0,9.49,74.06219904,72.5,2020Q1
USA,p1,Monthly,Offline,N,Medium,N,N,3,2.990695262,38.9351007,72.05178484,67.88868051,2019Q1
USA,p2,Annual,Offline,N,Low,Y,N,3,7.0,39.1307,81.26603504,81.4237,2020Q2
USA,p1,Annual,Offline,Y,Low,Y,Y,1,5.0,52.2305,79.47422738,78.235,2019Q4
India,p1,Monthly,Digital,Y,Medium,Y,Y,1,3.006232328,63.80975574,66.58027311,58.82115881,2018Q4
USA,p2,Annual,Offline,N,Medium,Y,N,5,6.0,37.1907,85.62413271,84.4123,2020Q1
Japan,p2,Monthly,Offline,N,Medium,N,N,3,5.0,37.25,81.90280647,83.51,2020Q3
Japan,p1,Bi-annual,Digital,Y,Low,N,N,3,4.802474366,15.25390105,80.35025035,79.05895282,2019Q1
India,p1,Annual,Offline,N,Low,Y,Y,3,4.0,10.9906,72.62880676,67.25,2019Q4
USA,p2,Monthly,Offline,Y,High,N,N,4,5.0,105.75,79.69468318,81.62,2020Q2
India,p2,Monthly,Offline,Y,Medium,Y,N,5,6.977363968,6.856002487,67.53280897,69.80822213,2018Q4
USA,p2,Annual,Digital,Y,Low,N,N,3,6.0,90.51,79.73532201,75.92,2020Q3
USA,p1,Monthly,Digital,Y,Medium,N,N,3,5.0,66.01,68.25330865,69.07,2019Q4
Japan,p1,Bi-annual,Offline,N,Medium,N,N,4,3.979609913,38.83128174,77.73757583,77.36723605,2019Q2
India,p2,Monthly,Offline,N,High,Y,Y,3,5.516944841,14.11382279,65.43035223,68.45898374,2019Q2
Japan,p2,Monthly,Digital,Y,Low,Y,Y,4,6.014460397,43.99024021,92.87851108,84.29741766,2019Q1
India,p1,Annual,Offline,N,Low,Y,Y,1,5.0,7.6907,69.9375384,71.175,2020Q3
Japan,p1,Monthly,Digital,N,Medium,N,N,3,4.0,15.61,77.51920835,77.35,2020Q2
USA,p1,Monthly,Digital,N,High,Y,Y,3,3.509840851,47.38367873,68.14209263,79.91283518,2019Q1
Japan,p2,Monthly,Digital,Y,Low,N,N,3,7.0,49.4,82.47408451,82.665,2020Q2
USA,p1,Annual,Offline,Y,Medium,N,Y,4,5.005571709,45.82572026,71.27805025,75.89934629,2019Q1
USA,p2,Annual,Digital,Y,High,N,Y,4,4.007300152,49.19372905,75.50215673,73.82225529,2018Q4
India,p1,Monthly,Digital,N,Low,N,N,3,4.0,5.5,68.060874,64.4,2019Q4
USA,p2,Annual,Digital,Y,Low,N,N,5,4.496870953,47.87525175,79.80712844,79.93146381,2019Q3
India,p2,Monthly,Digital,N,Low,N,N,1,2.0,16.61,68.83837418,65.57,2020Q2
Japan,p1,Bi-annual,Offline,N,Medium,N,Y,5,4.997213166,22.61623616,89.0907899,81.79169111,2019Q1
Japan,p1,Annual,Digital,N,High,N,Y,4,3.999486756,21.29764066,85.0062141,85.50395682,2019Q3
India,p2,Annual,Digital,Y,High,Y,N,5,6.0,9.207,80.29964361,77.5964,2020Q1
USA,p2,Annual,Offline,Y,High,Y,Y,1,5.0,85.4007,82.28606209,83.89,2020Q2
Japan,p1,Annual,Offline,N,High,N,Y,4,6.0,17.39,84.91501942,83.6,2020Q2
Japan,p1,Annual,Offline,Y,Medium,N,N,5,5.0,20.97,84.90412019,88.26,2020Q2
Japan,p2,Annual,Digital,Y,High,N,N,4,5.0,41.99,91.93238179,91.14,2020Q1
Japan,p1,Monthly,Digital,N,Low,N,Y,3,4.0,15.6,76.58050362,78.39,2020Q2
Japan,p1,Annual,Digital,N,Low,N,Y,4,6.0,17.37,80.43954186,79.12,2019Q4
India,p1,Monthly,Digital,N,High,N,N,5,2.0,9.94,70.23976865,59.77,2020Q3
Japan,p1,Bi-annual,Digital,N,Medium,N,N,5,5.0,15.27,81.11887059,84.95,2020Q2
USA,p2,Annual,Digital,Y,Low,N,Y,5,5.0,89.99,83.90680434,79.25,2020Q1
USA,p1,Annual,Digital,N,Medium,N,N,4,4.0,29.41,69.65742085,67.12,2019Q4
